Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,4690.46,безналичный,Минск,Беларусбанк-ZOHL-916,23-10-2011,14:01:48,успешно,да,108.96
физ. лицо,получение средств,4417.56,безналичный,Брест,Белинвестбанк-DMKC-095,28-07-2012,22:24:53,успешно,нет,0.0
юр. лицо,списание средств,4818.17,безналичный,Гомель,Белинвестбанк-JGWL-041,28-12-2024,10:52:16,успешно,да,290.02
физ. лицо,получение средств,4526.79,наличный,Брест,Белинвестбанк-FFBK-941,22-11-2017,16:21:22,успешно,нет,0.0
физ. лицо,списание средств,3268.49,безналичный,Брест,Приорбанк-UXZU-811,11-06-2001,16:58:29,успешно,нет,0.0
юр. лицо,списание средств,2376.07,безналичный,Витебск,Приорбанк-RJQW-227,01-09-2013,09:37:46,недостаточно средств,да,132.63
юр. лицо,списание средств,1544.74,наличный,Гомель,Беларусбанк-VZSQ-370,02-03-2019,09:53:23,успешно,нет,0.0
физ. лицо,списание средств,4729.92,безналичный,Гомель,МаксБанк-EMFP-396,13-04-2015,12:40:11,недостаточно средств,да,399.22
физ. лицо,получение средств,4430.7,наличный,Витебск,Приорбанк-PJQJ-265,12-01-2015,01:02:21,успешно,нет,0.0
физ. лицо,получение средств,1272.86,наличный,Витебск,БелАгропромбанк-IECW-164,17-07-2001,10:42:30,успешно,нет,0.0
физ. лицо,получение средств,2132.68,безналичный,Минск,Приорбанк-XPLN-104,18-04-2009,08:33:10,успешно,нет,0.0
физ. лицо,получение средств,3317.37,наличный,Могилев,МаксБанк-UWBP-122,17-04-2002,22:20:56,успешно,нет,0.0
физ. лицо,получение средств,736.9,наличный,Брест,БелАгропромбанк-CRXN-166,14-06-2012,02:04:11,успешно,нет,0.0
юр. лицо,получение средств,3161.8,наличный,Могилев,Белинвестбанк-LGUQ-929,13-12-2010,17:28:13,успешно,нет,0.0
юр. лицо,получение средств,3856.91,наличный,Брест,Приорбанк-TYPK-436,19-07-2006,16:56:24,успешно,нет,0.0
юр. лицо,получение средств,333.39,безналичный,Могилев,МаксБанк-GUUT-195,13-06-2018,18:15:20,успешно,нет,0.0
